,airport,timezone
1804,DIY,Europe/Istanbul
1805,DJA,Africa/Porto-Novo
1806,DJB,Asia/Jakarta
1807,DJE,Africa/Tunis
1808,DJG,Africa/Algiers
1809,DJH,Asia/Dubai
1810,DJJ,Asia/Jayapura
1811,DJM,Africa/Brazzaville
1812,DJN,America/Anchorage
1813,DJO,Africa/Abidjan
1814,DJU,Atlantic/Reykjavik
1815,DKA,Africa/Lagos
1816,DKI,Australia/Lindeman
1817,DKK,America/New_York
1818,DKR,Africa/Dakar
1819,DKS,Asia/Krasnoyarsk
1820,DKV,Australia/Darwin
1821,DLA,Africa/Douala
1822,DLB,Pacific/Port_Moresby
1823,DLC,Asia/Shanghai
1824,DLE,Europe/Paris
1825,DLF,America/Chicago
1826,DLG,America/Anchorage
1827,DLH,America/Chicago
1828,DLI,Asia/Ho_Chi_Minh
1829,DLK,Australia/Adelaide
1830,DLL,America/New_York
1831,DLM,Europe/Istanbul
1832,DLN,America/Denver
1833,DLR,Asia/Vladivostok
1834,DLS,America/Los_Angeles
1835,DLU,Asia/Shanghai
1836,DLV,Australia/Darwin
1837,DLY,Pacific/Efate
1838,DLZ,Asia/Ulaanbaatar
1839,DMA,America/Phoenix
1840,DMB,Asia/Almaty
1841,DMD,Australia/Brisbane
1842,DME,Europe/Moscow
1843,DMK,Asia/Bangkok
1844,DMM,Asia/Riyadh
1845,DMN,America/Denver
1846,DMO,America/Chicago
1847,DMR,Asia/Aden
1848,DMT,America/Cuiaba
1849,DMU,Asia/Kolkata
1850,DNA,Asia/Tokyo
1851,DNB,Australia/Brisbane
1852,DND,Europe/London
1853,DNF,Africa/Tripoli
1854,DNG,Australia/Perth
1855,DNH,Asia/Urumqi
1856,DNI,Africa/Khartoum
1857,DNK,Europe/Zaporozhye
1858,DNL,America/New_York
1859,DNM,Australia/Perth
1860,DNN,America/New_York
1861,DNO,America/Araguaina
1862,DNP,Asia/Kathmandu
1863,DNQ,Australia/Sydney
1864,DNR,Europe/Paris
1865,DNS,America/Chicago
1866,DNU,Pacific/Port_Moresby
1867,DNV,America/Chicago
1868,DNX,Africa/Khartoum
1869,DNZ,Europe/Istanbul
1870,DOA,Indian/Antananarivo
1871,DOB,Asia/Jayapura
1872,DOC,Europe/London
1873,DOD,Africa/Dar_es_Salaam
1874,DOE,America/Paramaribo
1875,DOG,Africa/Khartoum
1876,DOH,Asia/Qatar
1877,DOI,Pacific/Port_Moresby
1878,DOK,Europe/Zaporozhye
1879,DOL,Europe/Paris
1880,DOM,America/Dominica
1881,DON,America/Guatemala
1882,DOO,Pacific/Port_Moresby
1883,DOP,Asia/Kathmandu
1884,DOR,Africa/Ouagadougou
1885,DOS,Pacific/Bougainville
1886,DOU,America/Campo_Grande
1887,DOV,America/Indiana/Indianapolis
1888,DOX,Australia/Perth
1889,DOY,Asia/Shanghai
1890,DPA,America/Chicago
1891,DPB,America/Punta_Arenas
1892,DPE,Europe/Paris
1893,DPG,America/Denver
1894,DPL,Asia/Manila
1895,DPO,Australia/Hobart
1896,DPS,Asia/Makassar
1897,DPT,Asia/Vladivostok
1898,DPU,Pacific/Port_Moresby
1899,DQA,Asia/Shanghai
1900,DQM,Asia/Muscat
1901,DRA,America/Los_Angeles
1902,DRB,Australia/Perth
1903,DRC,Africa/Luanda
1904,DRD,Australia/Brisbane
1905,DRE,America/Detroit
1906,DRF,America/Anchorage
1907,DRG,America/Nome
1908,DRH,Asia/Jayapura
1909,DRI,America/Chicago
1910,DRJ,America/Paramaribo
1911,DRK,America/Costa_Rica
1912,DRN,Australia/Brisbane
1913,DRO,America/Denver
1914,DRR,Australia/Brisbane
1915,DRS,Europe/Berlin
1916,DRT,America/Chicago
1917,DRU,America/Denver
1918,DRV,Indian/Maldives
1919,DRW,Australia/Darwin
1920,DRY,Australia/Perth
1921,DSA,Europe/London
1922,DSC,Africa/Douala
1923,DSD,America/Guadeloupe
1924,DSE,Africa/Addis_Ababa
1925,DSG,Asia/Manila
1926,DSI,America/Chicago
1927,DSK,Asia/Karachi
1928,DSM,America/Chicago
1929,DSN,Asia/Shanghai
1930,DSO,Asia/Pyongyang
1931,DSS,Africa/Dakar
1932,DSV,America/New_York
1933,DSX,Asia/Taipei
1934,DTA,America/Denver
1935,DTB,Asia/Jakarta
1936,DTD,Asia/Makassar
1937,DTE,Asia/Manila
1938,DTH,America/Los_Angeles
1939,DTI,America/Sao_Paulo
1940,DTL,America/Chicago
1941,DTM,Europe/Berlin
1942,DTN,America/Chicago
1943,DTR,America/Los_Angeles
1944,DTT,America/Detroit
1945,DTU,Asia/Shanghai
1946,DTW,America/Detroit
1947,DUA,America/Chicago
1948,DUB,Europe/Dublin
1949,DUC,America/Chicago
1950,DUD,Pacific/Auckland
1951,DUE,Africa/Luanda
1952,DUF,America/New_York
1953,DUG,America/Phoenix
1954,DUJ,America/New_York
1955,DUK,Africa/Johannesburg
1956,DUM,Asia/Jakarta
1957,DUQ,America/Vancouver
1958,DUR,Africa/Johannesburg
1959,DUS,Europe/Berlin
1960,DUT,America/Anchorage
1961,DVD,Indian/Antananarivo
1962,DVK,America/Yellowknife
1963,DVL,America/Chicago
1964,DVN,America/Chicago
1965,DVO,Asia/Manila
1966,DVP,Australia/Brisbane
1967,DVR,Australia/Darwin
1968,DVT,America/Phoenix
1969,DWA,Africa/Blantyre
1970,DWB,Indian/Antananarivo
1971,DWC,Asia/Dubai
1972,DWD,Asia/Riyadh
1973,DWH,America/Chicago
1974,DWO,Asia/Colombo
1975,DWR,Asia/Kabul
1976,DXB,Asia/Dubai
1977,DXD,Australia/Brisbane
1978,DXE,America/Chicago
1979,DXR,America/New_York
1980,DYA,Australia/Brisbane
1981,DYG,Asia/Shanghai
1982,DYL,America/New_York
1983,DYM,Australia/Brisbane
1984,DYR,Asia/Anadyr
1985,DYS,America/Chicago
1986,DYU,Asia/Dushanbe
1987,DYW,Australia/Darwin
1988,DZA,Indian/Mayotte
1989,DZI,America/Bogota
1990,DZN,Asia/Almaty
1991,DZO,America/Montevideo
1992,DZU,Asia/Shanghai
1993,EAA,America/Anchorage
1994,EAB,Asia/Aden
1995,EAE,Pacific/Efate
1996,EAL,Pacific/Kwajalein
1997,EAM,Asia/Riyadh
1998,EAN,America/Denver
1999,EAP,Europe/Zurich
2000,EAR,America/Chicago
2001,EAS,Europe/Madrid
2002,EAT,America/Los_Angeles
2003,EAU,America/Chicago
2004,EBA,Europe/Rome
2005,EBB,Africa/Kampala
2006,EBD,Africa/Khartoum
2007,EBG,America/Bogota
2008,EBH,Africa/Algiers
2009,EBJ,Europe/Copenhagen
2010,EBL,Asia/Baghdad
2011,EBM,Africa/Tunis
2012,EBN,Pacific/Kwajalein
2013,EBO,Pacific/Majuro
2014,EBS,America/Chicago
2015,EBU,Europe/Paris
2016,EBW,Africa/Douala
2017,ECA,America/Detroit
2018,ECG,America/New_York
2019,ECH,Australia/Melbourne
2020,ECI,America/Managua
2021,ECN,Asia/Nicosia
2022,ECO,America/Bogota
2023,ECP,America/Chicago
2024,ECR,America/Bogota
2025,ECS,America/Denver
2026,EDA,America/Sitka
2027,EDB,Africa/Khartoum
2028,EDD,Australia/Darwin
2029,EDE,America/New_York
2030,EDF,America/Anchorage
2031,EDI,Europe/London
2032,EDK,America/Chicago
2033,EDL,Africa/Nairobi
2034,EDM,Europe/Paris
2035,EDN,Asia/Vladivostok
2036,EDO,Europe/Istanbul
2037,EDQ,America/Tegucigalpa
2038,EDR,Australia/Brisbane
2039,EDW,America/Los_Angeles
2040,EED,America/Los_Angeles
2041,EEK,America/Nome
2042,EEN,America/New_York
2043,EFD,America/Chicago
2044,EFG,Pacific/Port_Moresby
2045,EFK,America/New_York
2046,EFL,Europe/Athens
2047,EFW,America/Chicago
2048,EGA,Pacific/Port_Moresby
2049,EGC,Europe/Paris
2050,EGE,America/Denver
2051,EGI,America/Chicago
2052,EGL,Africa/Addis_Ababa
2053,EGM,Pacific/Guadalcanal
2054,EGN,Africa/Khartoum
2055,EGO,Europe/Moscow
2056,EGP,America/Chicago
2057,EGS,Atlantic/Reykjavik
2058,EGV,America/Chicago
2059,EGX,America/Anchorage
2060,EHL,America/Argentina/Salta
2061,EHM,America/Nome
2062,EIA,Pacific/Port_Moresby
2063,EIB,Europe/Berlin
2064,EIE,Asia/Krasnoyarsk
2065,EIH,Australia/Brisbane
2066,EIK,Europe/Moscow
2067,EIL,America/Anchorage
2068,EIN,Europe/Amsterdam
2069,EIS,America/Tortola
2070,EIY,Asia/Jerusalem
2071,EJA,America/Bogota
2072,EJH,Asia/Riyadh
2073,EJN,Asia/Shanghai
2074,EJT,Pacific/Majuro
2075,EKA,America/Los_Angeles
2076,EKB,Asia/Almaty
2077,EKD,Australia/Darwin
2078,EKE,America/Guyana
2079,EKI,America/Indiana/Indianapolis
2080,EKN,America/New_York
2081,EKO,America/Los_Angeles
2082,EKS,Asia/Sakhalin
2083,EKT,Europe/Stockholm
2084,EKX,America/New_York
2085,ELA,America/Chicago
2086,ELB,America/Bogota
2087,ELC,Australia/Darwin
2088,ELD,America/Chicago
2089,ELE,America/Panama
2090,ELF,Africa/Khartoum
2091,ELG,Africa/Algiers
2092,ELH,America/Nassau
2093,ELI,America/Nome
2094,ELJ,America/Bogota
2095,ELK,America/Chicago
2096,ELL,Africa/Johannesburg
2097,ELM,America/New_York
2098,ELN,America/Los_Angeles
2099,ELO,America/Argentina/Cordoba
2100,ELP,America/Denver
2101,ELQ,Asia/Riyadh
2102,ELR,Asia/Jayapura
2103,ELS,Africa/Johannesburg
2104,ELT,Africa/Cairo
2105,ELU,Africa/Algiers
2106,ELV,America/Juneau
2107,ELW,America/Anchorage
2108,ELX,America/Caracas
2109,ELY,America/Los_Angeles
2110,ELZ,America/New_York
2111,EMA,Europe/London
2112,EMD,Australia/Brisbane
2113,EME,Europe/Berlin
2114,EMG,Africa/Johannesburg
2115,EMI,Pacific/Port_Moresby
2116,EMK,America/Nome
2117,EML,Europe/Zurich
2118,EMM,America/Denver
2119,EMN,Africa/Nouakchott
2120,EMO,Pacific/Port_Moresby
2121,EMP,America/Chicago
2122,EMS,Pacific/Port_Moresby
2123,EMT,America/Los_Angeles
2124,EMX,America/Argentina/Catamarca
2125,EMY,Africa/Cairo
2126,ENA,America/Anchorage
2127,ENB,Australia/Perth
2128,ENC,Europe/Paris
2129,END,America/Chicago
2130,ENE,Asia/Makassar
2131,ENF,Europe/Helsinki
2132,ENH,Asia/Shanghai
2133,ENI,Asia/Manila
2134,ENJ,America/Guatemala
2135,ENK,Europe/London
2136,ENL,America/Chicago
2137,ENN,America/Anchorage
2138,ENO,America/Asuncion
2139,ENS,Europe/Amsterdam
2140,ENT,Pacific/Kwajalein
2141,ENU,Africa/Lagos
2142,ENV,America/Denver
2143,ENW,America/Chicago
2144,ENY,Asia/Shanghai
2145,EOH,America/Bogota
2146,EOI,Europe/London
2147,EOK,America/Chicago
2148,EOR,America/Caracas
2149,EOS,America/Chicago
2150,EOZ,America/Caracas
2151,EPA,America/Argentina/Buenos_Aires
2152,EPG,America/Chicago
2153,EPH,America/Los_Angeles
2154,EPL,Europe/Paris
2155,EPN,Africa/Brazzaville
2156,EPR,Australia/Perth
2157,EPS,America/Santo_Domingo
2158,EPT,Pacific/Port_Moresby
2159,EPU,Europe/Tallinn
2160,EQS,America/Argentina/Catamarca
2161,ERA,Africa/Mogadishu
2162,ERB,Australia/Adelaide
2163,ERC,Europe/Istanbul
2164,ERD,Europe/Zaporozhye
2165,ERE,Pacific/Port_Moresby
2166,ERF,Europe/Berlin
2167,ERG,Asia/Irkutsk
2168,ERH,Africa/Casablanca
2169,ERI,America/New_York
2170,ERL,Asia/Shanghai
2171,ERM,America/Sao_Paulo
2172,ERN,America/Manaus
2173,ERQ,Australia/Brisbane
2174,ERR,America/New_York
2175,ERS,Africa/Windhoek
2176,ERT,Asia/Ulaanbaatar
2177,ERU,Pacific/Port_Moresby
2178,ERV,America/Chicago
2179,ERZ,Europe/Istanbul
2180,ESA,Pacific/Port_Moresby
2181,ESB,Europe/Istanbul
2182,ESC,America/Detroit
2183,ESD,America/Los_Angeles
2184,ESE,America/Tijuana
2185,ESF,America/Chicago
2186,ESG,America/Asuncion
2187,ESH,Europe/London
2188,ESI,America/Sao_Paulo
2189,ESK,Europe/Istanbul
2190,ESL,Europe/Moscow
2191,ESM,America/Guayaquil
2192,ESN,America/New_York
2193,ESO,America/Denver
2194,ESP,America/New_York
2195,ESR,America/Santiago
2196,ESS,Europe/Berlin
2197,EST,America/Chicago
2198,ESU,Africa/Casablanca
2199,ESW,America/Los_Angeles
2200,ETB,America/Chicago
2201,ETD,Australia/Adelaide
2202,ETE,Africa/Addis_Ababa
2203,ETH,Asia/Jerusalem
2204,ETL,Asia/Vladivostok
2205,ETM,Asia/Jerusalem
2206,ETN,America/Chicago
2207,ETR,America/Guayaquil
2208,ETS,America/Chicago
2209,ETZ,Europe/Paris
2210,EUA,Pacific/Tongatapu
2211,EUC,Australia/Eucla
2212,EUE,America/Los_Angeles
2213,EUF,America/Chicago
2214,EUG,America/Los_Angeles
2215,EUM,Europe/Berlin
2216,EUN,Africa/Casablanca
2217,EUO,America/Bogota
2218,EUQ,Asia/Manila
2219,EUX,America/Kralendijk
2220,EVA,America/Chicago
2221,EVD,Australia/Darwin
2222,EVE,Europe/Oslo
2223,EVG,Europe/Stockholm
2224,EVH,Australia/Sydney
2225,EVM,America/Chicago
2226,EVN,Asia/Yerevan
2227,EVV,America/Chicago
2228,EVW,America/Denver
2229,EVX,Europe/Paris
2230,EWB,America/New_York
2231,EWE,Asia/Jayapura
2232,EWI,Asia/Jayapura
2233,EWK,America/Chicago
2234,EWN,America/New_York
2235,EWO,Africa/Brazzaville
2236,EWR,America/New_York
2237,EXI,America/Juneau
2238,EXM,Australia/Perth
2239,EXT,Europe/London
2240,EYK,Asia/Yekaterinburg
2241,EYL,Africa/Bamako
2242,EYP,America/Bogota
2243,EYR,America/Los_Angeles
2244,EYS,Africa/Nairobi
2245,EYW,America/New_York
2246,EZE,America/Argentina/Buenos_Aires
2247,EZS,Europe/Istanbul
2248,EZV,Asia/Yekaterinburg
2249,FAA,Africa/Conakry
2250,FAB,Europe/London
2251,FAC,Pacific/Tahiti
2252,FAE,Atlantic/Faroe
2253,FAF,America/New_York
2254,FAG,Atlantic/Reykjavik
2255,FAH,Asia/Kabul
2256,FAI,America/Anchorage
2257,FAJ,America/Puerto_Rico
2258,FAK,America/Sitka
2259,FAM,America/Chicago
2260,FAO,Europe/Lisbon
2261,FAQ,Pacific/Port_Moresby
2262,FAR,America/Chicago
2263,FAS,Atlantic/Reykjavik
2264,FAT,America/Los_Angeles
2265,FAU,Asia/Muscat
2266,FAV,Pacific/Tahiti
2267,FAY,America/New_York
2268,FAZ,Asia/Tehran
2269,FBA,America/Manaus
2270,FBD,Asia/Kabul
2271,FBE,America/Sao_Paulo
2272,FBG,America/New_York
2273,FBK,America/Anchorage
2274,FBL,America/Chicago
2275,FBM,Africa/Lubumbashi
2276,FBR,America/Denver
2277,FBS,America/Los_Angeles
2278,FBY,America/Chicago
2279,FCA,America/Denver
2280,FCB,Africa/Johannesburg
2281,FCH,America/Los_Angeles
2282,FCM,America/Chicago
2283,FCN,Europe/Berlin
2284,FCO,Europe/Rome
2285,FCS,America/Denver
2286,FCY,America/Chicago
2287,FDE,Europe/Oslo
2288,FDF,America/Martinique
2289,FDH,Europe/Berlin
2290,FDK,America/New_York
2291,FDR,America/Chicago
2292,FDU,Africa/Kinshasa
2293,FDY,America/New_York
2294,FEA,Europe/London
2295,FEB,Asia/Kathmandu
2296,FEC,America/Bahia
2297,FEG,Asia/Tashkent
2298,FEJ,America/Rio_Branco
2299,FEK,Africa/Abidjan
2300,FEL,Europe/Berlin
2301,FEN,America/Noronha
2302,FEP,America/Chicago
2303,FET,America/Chicago
2304,FEZ,Africa/Casablanca
2305,FFA,America/New_York
2306,FFD,Europe/London
2307,FFL,America/Chicago
2308,FFM,America/Chicago
2309,FFO,America/New_York
2310,FFT,America/New_York
2311,FFU,America/Santiago
2312,FGD,Africa/Nouakchott
2313,FGI,Pacific/Apia
2314,FGU,Pacific/Tahiti
2315,FHU,America/Phoenix
2316,FHZ,Pacific/Tahiti
2317,FID,America/New_York
2318,FIE,Europe/London
2319,FIG,Africa/Conakry
2320,FIH,Africa/Kinshasa
2321,FIK,Australia/Darwin
2322,FIL,America/Denver
2323,FIN,Pacific/Port_Moresby
2324,FIZ,Australia/Perth
2325,FJR,Asia/Dubai
2326,FKB,Europe/Berlin
2327,FKI,Africa/Lubumbashi
2328,FKJ,Asia/Tokyo
2329,FKL,America/New_York
2330,FKN,America/New_York
2331,FKQ,Asia/Jayapura
2332,FKS,Asia/Tokyo
2333,FLA,America/Bogota
2334,FLB,America/Fortaleza
2335,FLD,America/Chicago
2336,FLF,Europe/Berlin
2337,FLG,America/Phoenix
2338,FLH,Europe/London
2339,FLI,Atlantic/Reykjavik
2340,FLL,America/New_York
2341,FLM,America/Asuncion
2342,FLN,America/Sao_Paulo
2343,FLO,America/New_York
2344,FLP,America/Chicago
2345,FLR,Europe/Rome
2346,FLS,Australia/Hobart
2347,FLT,America/Anchorage
2348,FLV,America/Chicago
2349,FLW,Atlantic/Azores
2350,FLX,America/Los_Angeles
2351,FLY,Australia/Sydney
2352,FLZ,Asia/Jakarta
2353,FMA,America/Argentina/Cordoba
2354,FME,America/New_York
2355,FMH,America/New_York
2356,FMI,Africa/Lubumbashi
2357,FMM,Europe/Berlin
2358,FMN,America/Denver
2359,FMO,Europe/Berlin
2360,FMS,America/Chicago
2361,FMU,America/Los_Angeles
2362,FMY,America/New_York
2363,FNA,Africa/Freetown
2364,FNB,Europe/Berlin
2365,FNC,Atlantic/Madeira
2366,FNE,Pacific/Port_Moresby
2367,FNG,Africa/Ouagadougou
2368,FNH,Africa/Addis_Ababa
2369,FNI,Europe/Paris
2370,FNJ,Asia/Pyongyang
2371,FNL,America/Denver
2372,FNR,America/Juneau
2373,FNT,America/Detroit
2374,FNU,Europe/Rome
2375,FOA,Europe/London
2376,FOB,America/Los_Angeles
2377,FOC,Asia/Shanghai
2378,FOD,America/Chicago
2379,FOE,America/Chicago
2380,FOG,Europe/Rome
2381,FOK,America/New_York
2382,FOM,Africa/Douala
2383,FON,America/Costa_Rica
2384,FOO,Asia/Jayapura
2385,FOR,America/Fortaleza
2386,FOS,Australia/Perth
2387,FOT,Australia/Sydney
2388,FOU,Africa/Libreville
2389,FOY,Africa/Monrovia
2390,FPO,America/Nassau
2391,FPR,America/New_York
2392,FPY,America/New_York
2393,FRA,Europe/Berlin
2394,FRB,Australia/Sydney
2395,FRC,America/Sao_Paulo
2396,FRD,America/Los_Angeles
2397,FRE,Pacific/Guadalcanal
2398,FRG,America/New_York
2399,FRH,America/Indiana/Indianapolis
2400,FRI,America/Chicago
2401,FRK,Indian/Mahe
2402,FRL,Europe/Rome
2403,FRM,America/Chicago
2404,FRN,America/Anchorage
2405,FRO,Europe/Oslo
2406,FRQ,Pacific/Port_Moresby
2407,FRR,America/New_York
2408,FRS,America/Guatemala
2409,FRT,America/Santiago
2410,FRU,Asia/Bishkek
2411,FRW,Africa/Gaborone
2412,FRY,America/New_York
2413,FRZ,Europe/Berlin
2414,FSC,Europe/Paris
2415,FSD,America/Chicago
2416,FSI,America/Chicago
2417,FSK,America/Chicago
2418,FSL,Australia/Perth
2419,FSM,America/Chicago
2420,FSP,America/Miquelon
2421,FSS,Europe/London
2422,FST,America/Chicago
2423,FSU,America/Denver
2424,FSZ,Asia/Tokyo
2425,FTA,Pacific/Efate
2426,FTE,America/Argentina/Rio_Gallegos
2427,FTI,Pacific/Pago_Pago
2428,FTK,America/New_York
2429,FTU,Indian/Antananarivo
2430,FTW,America/Chicago
2431,FTX,Africa/Brazzaville
2432,FTY,America/New_York
2433,FUB,Pacific/Port_Moresby
2434,FUE,Atlantic/Canary
2435,FUG,Asia/Shanghai
2436,FUJ,Asia/Tokyo
2437,FUK,Asia/Tokyo
2438,FUL,America/Los_Angeles
2439,FUM,Pacific/Port_Moresby
2440,FUN,Pacific/Funafuti
2441,FUO,Asia/Shanghai
2442,FUT,Pacific/Wallis
2443,FVL,Australia/Perth
2444,FVM,Indian/Maldives
2445,FVR,Australia/Perth
2446,FWA,America/Indiana/Indianapolis
2447,FWH,America/Chicago
2448,FWL,America/Anchorage
2449,FXE,America/New_York
2450,FXO,Africa/Maputo
2451,FXY,America/Chicago
2452,FYJ,Asia/Shanghai
2453,FYM,America/Chicago
2454,FYN,Asia/Urumqi
2455,FYT,Africa/Ndjamena
2456,FYU,America/Anchorage
2457,FYV,America/Chicago
2458,FZO,Europe/London
2459,GAA,America/Bogota
2460,GAB,America/Los_Angeles
2461,GAC,America/Tegucigalpa
2462,GAD,America/Chicago
2463,GAE,Africa/Tunis
2464,GAF,Africa/Tunis
2465,GAG,America/Chicago
2466,GAH,Australia/Brisbane
2467,GAI,America/New_York
2468,GAJ,Asia/Tokyo
2469,GAL,America/Anchorage
2470,GAM,America/Nome
2471,GAN,Indian/Maldives
2472,GAO,America/Havana
2473,GAP,Pacific/Port_Moresby
2474,GAQ,Africa/Bamako
2475,GAR,Pacific/Port_Moresby
2476,GAS,Africa/Nairobi
2477,GAT,Europe/Paris
2478,GAU,Asia/Kolkata
2479,GAV,Asia/Jayapura
2480,GAW,Asia/Yangon
2481,GAX,Africa/Libreville
2482,GAY,Asia/Kolkata
2483,GAZ,Pacific/Port_Moresby
2484,GBA,Europe/London
2485,GBB,Asia/Baku
2486,GBC,Pacific/Port_Moresby
2487,GBD,America/Chicago
2488,GBE,Africa/Gaborone
2489,GBF,Pacific/Port_Moresby
2490,GBG,America/Chicago
2491,GBH,America/Anchorage
2492,GBJ,America/Guadeloupe
2493,GBK,Africa/Freetown
2494,GBL,Australia/Darwin
2495,GBM,Africa/Mogadishu
2496,GBP,Australia/Brisbane
2497,GBR,America/New_York
2498,GBT,Asia/Tehran
2499,GBU,Africa/Khartoum
2500,GBV,Australia/Perth
2501,GBW,Australia/Perth
2502,GBZ,Pacific/Auckland
2503,GCA,America/Bogota
2504,GCC,America/Denver
2505,GCD,America/Los_Angeles
2506,GCH,Asia/Tehran
2507,GCI,Europe/Guernsey
2508,GCJ,Africa/Johannesburg
2509,GCK,America/Chicago
2510,GCM,America/Cayman
2511,GCN,America/Phoenix
2512,GCT,America/Phoenix
2513,GCW,America/Phoenix
2514,GCY,America/New_York
2515,GDA,Africa/Bangui
2516,GDC,America/New_York
2517,GDD,Australia/Perth
2518,GDE,Africa/Addis_Ababa
2519,GDG,Asia/Yakutsk
2520,GDH,America/Anchorage
2521,GDI,Africa/Bangui
2522,GDJ,Africa/Lubumbashi
2523,GDL,America/Mexico_City
2524,GDM,America/New_York
2525,GDN,Europe/Warsaw
2526,GDO,America/Caracas
2527,GDP,America/Fortaleza
2528,GDQ,Africa/Addis_Ababa
2529,GDT,America/Grand_Turk
2530,GDV,America/Denver
2531,GDW,America/Detroit
2532,GDX,Asia/Magadan
2533,GDZ,Europe/Moscow
2534,GEA,Pacific/Noumea
2535,GEB,Asia/Jayapura
2536,GEC,Asia/Famagusta
2537,GED,America/New_York
2538,GEE,Australia/Hobart
2539,GEF,Pacific/Guadalcanal
2540,GEG,America/Los_Angeles
2541,GEL,America/Sao_Paulo
2542,GEM,Africa/Malabo
2543,GEO,America/Guyana
2544,GER,America/Havana
2545,GES,Asia/Manila
2546,GET,Australia/Perth
2547,GEV,Europe/Stockholm
2548,GEW,Pacific/Port_Moresby
2549,GEX,Australia/Melbourne
2550,GEY,America/Denver
2551,GFD,America/Indiana/Indianapolis
2552,GFE,Australia/Sydney
2553,GFF,Australia/Sydney
2554,GFK,America/Chicago
2555,GFL,America/New_York
2556,GFN,Australia/Sydney
2557,GFO,America/Guyana
2558,GFR,Europe/Paris
2559,GFY,Africa/Windhoek
2560,GGC,Africa/Luanda
2561,GGD,Australia/Brisbane
2562,GGE,America/New_York
2563,GGG,America/Chicago
2564,GGL,America/Bogota
2565,GGM,Africa/Nairobi
2566,GGN,Africa/Abidjan
2567,GGO,Africa/Abidjan
2568,GGR,Africa/Mogadishu
2569,GGS,America/Argentina/Rio_Gallegos
2570,GGT,America/Nassau
2571,GGW,America/Denver
2572,GHA,Africa/Algiers
2573,GHB,America/Nassau
2574,GHC,America/Nassau
2575,GHE,America/Panama
2576,GHF,Europe/Berlin
2577,GHK,America/Yellowknife
2578,GHM,America/Chicago
2579,GHN,Asia/Shanghai
2580,GHS,Asia/Makassar
2581,GHT,Africa/Tripoli
2582,GHU,America/Argentina/Cordoba
2583,GIB,Europe/Gibraltar
2584,GIC,Pacific/Port_Moresby
2585,GID,Africa/Bujumbura
2586,GIF,America/New_York
2587,GIG,America/Sao_Paulo
2588,GII,Africa/Conakry
2589,GIL,Asia/Karachi
2590,GIM,Africa/Libreville
2591,GIR,America/Bogota
2592,GIS,Pacific/Auckland
2593,GIT,Africa/Dar_es_Salaam
2594,GIU,Asia/Colombo
2595,GIY,Africa/Johannesburg
2596,GIZ,Asia/Riyadh
2597,GJA,America/Tegucigalpa
2598,GJL,Africa/Algiers
2599,GJM,America/Porto_Velho
2600,GJR,Atlantic/Reykjavik
2601,GJT,America/Denver
2602,GKA,Pacific/Port_Moresby
2603,GKD,Europe/Istanbul
2604,GKE,Europe/Berlin
2605,GKH,Asia/Kathmandu
2606,GKK,Indian/Maldives
2607,GKL,Australia/Brisbane
2608,GKN,America/Anchorage
2609,GKO,Africa/Libreville
2610,GKT,America/New_York
2611,GLA,Europe/London
2612,GLB,America/Phoenix
2613,GLC,Africa/Addis_Ababa
2614,GLD,America/Denver
2615,GLE,America/Chicago
2616,GLF,America/Costa_Rica
2617,GLG,Australia/Brisbane
2618,GLH,America/Chicago
2619,GLI,Australia/Sydney
2620,GLK,Africa/Mogadishu
2621,GLL,Europe/Oslo
2622,GLM,Australia/Brisbane
2623,GLN,Africa/Casablanca
2624,GLO,Europe/London
2625,GLP,Pacific/Port_Moresby
2626,GLR,America/Detroit
2627,GLS,America/Chicago
2628,GLT,Australia/Brisbane
2629,GLU,Asia/Thimphu
2630,GLV,America/Nome
2631,GLW,America/Chicago
2632,GLX,Asia/Jayapura
2633,GLY,Australia/Perth
2634,GLZ,Europe/Amsterdam
2635,GMA,Africa/Kinshasa
2636,GMB,Africa/Addis_Ababa
2637,GMC,America/Bogota
2638,GMD,Africa/Casablanca
2639,GME,Europe/Minsk
2640,GMI,Pacific/Port_Moresby
2641,GMM,Africa/Brazzaville
2642,GMN,Pacific/Auckland
2643,GMO,Africa/Lagos
2644,GMP,Asia/Seoul
2645,GMQ,Asia/Shanghai
2646,GMR,Pacific/Gambier
2647,GMS,America/Fortaleza
2648,GMT,America/Anchorage
2649,GMU,America/New_York
2650,GMV,America/Denver
2651,GMZ,Atlantic/Canary
2652,GNA,Europe/Minsk
2653,GNB,Europe/Paris
2654,GND,America/Grenada
2655,GNF,America/Los_Angeles
2656,GNG,America/Boise
2657,GNI,Asia/Taipei
2658,GNM,America/Bahia
2659,GNN,Africa/Addis_Ababa
2660,GNR,America/Argentina/Salta
2661,GNS,Asia/Jakarta
2662,GNT,America/Denver
2663,GNU,America/Anchorage
2664,GNV,America/New_York
2665,GNY,Europe/Istanbul
2666,GNZ,Africa/Gaborone
2667,GOA,Europe/Rome
2668,GOB,Africa/Addis_Ababa
2669,GOC,Pacific/Port_Moresby
2670,GOE,Pacific/Port_Moresby
2671,GOG,Africa/Windhoek
2672,GOH,America/Godthab
2673,GOI,Asia/Kolkata
2674,GOJ,Europe/Moscow
2675,GOK,America/Chicago
2676,GOL,America/Los_Angeles
2677,GOM,Africa/Lubumbashi
2678,GON,America/New_York
